building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
258061,medium,4382.223999999999,1890.3033710099999,1957.86221618,2364.0330469699998,2376.7606962299997,2328.3817079999812,2216.1547458000155,2100.693666600007,1988.6330257000134,2326.581329800019,2324.6979681000034,2212.6822806999876,2097.102903400008,1984.9345266999944,2322.9525366000044,2095.287766099994,1983.134148499999
157458,low,6981.131,3261.3361534299997,2941.9800579700004,3722.52558993,3346.16688639,3676.572231999938,3499.376570900026,3317.0543699000964,3140.1577632999724,3285.539995399984,2894.383641400019,2717.4983709999483,2535.054493100022,2357.909580199983,2503.428537399966,2143.9638640000244,1966.8785436000157
60982,medium,3612.0180000000005,1547.63571278,1656.4530744600002,1931.6975299499998,1994.1745552500001,1906.6052158000075,1814.7103017000056,1720.164955399998,1628.3998455000037,1964.7744443999964,2022.8613882,1931.1509200999976,1836.5001289000052,1744.6568095999924,2081.081974899997,1894.6701492000002,1802.8260382000003
283220,high,8380.542,4010.5621664599994,3822.8178035400006,4439.210351379999,4194.49421164,4382.3222298000455,4171.133864099999,3953.7168840000363,3742.9101972000058,4088.4844521000214,3794.493867900012,3583.6576467999935,3366.1927035000117,3155.1118947999776,3500.7779308000054,3072.3849852999933,2861.2741171000016
337083,low,4002.8600000000006,1703.4735837099997,1571.7009769,2139.29228626,1954.7455127000003,2115.0152041999554,2013.0794022999876,1908.1887909000397,1806.4283781999973,1946.0035474000206,1776.9181337999858,1675.1592222000143,1570.203991600006,1468.3004745000019,1607.9476923999905,1401.1627015000158,1299.2900177000122
441030,medium,3827.635,1627.3572966000002,1726.5766209500002,2045.4032775300002,2093.97224987,2017.1326961999703,1919.9150277999877,1819.8859509000197,1722.8198111000072,2059.5833155000087,2101.9620799999775,2004.9210346000086,1904.809755200019,1807.6277868000052,2144.460359400004,1947.2389664000016,1850.0784061000059
260334,medium,8969.96,4283.3625648,4062.7714852000004,4805.70340723,4522.84132949,4737.548632599986,4509.211347699986,4274.287311400015,4046.277576499962,4393.219183900032,4048.718397099939,3820.8129204999477,3585.6489822999965,3357.4192360999755,3704.513775000026,3241.2914287000217,3013.08978739998
365947,high,6600.835,3057.65226139,2984.64941525,3516.7740507399994,3386.53448776,3460.2568118000268,3293.488821199989,3121.907626500037,2955.343508000016,3297.5260904999795,3134.6721137999793,2968.233008899993,2796.4446049999938,2629.7699123000025,2972.064827199997,2633.7249860000056,2467.039190999989
117371,high,8846.07,4259.747821429999,4041.9985890000007,4715.4113257,4440.617342559999,4643.613781200046,4419.827510600103,4189.554241300002,3966.1100902000007,4312.632433299969,3981.507598799986,3758.1004434000106,3527.666751900071,3303.9234405000116,3650.638453000048,3196.604936700056,2972.9420925999957
504247,high,6524.5869999999995,3016.90680124,2948.81018279,3482.27676504,3357.06324502,3439.3559249999466,3273.5998652000017,3103.0430735000264,2937.551430099991,3279.598161900008,3119.7248741000094,2954.2522408000054,2783.578740200001,2617.856770799982,2960.0373139999992,2623.757368699996,2458.0990076999924
