ExternalReference,climatezone,dac,age,gender,income,education,race,ideology,born_us,employment,home_type,household_numpeople,home_own,home_area,home_age,charging_work,rangeanxiety,vehicle_next_used,vehicle_num,primary_heating_type,primary_cooling_type,hotwater_energy,hotwater_nextelec,heatpump_direct,therm_summer,therm_winter,ac_unit_number,kitchen_range_type,induction_direct,heating_cost_burden,elec_savemoney,elec_health,elec_safety,upfrontpayback,lowincome_sup,outage_impact,outage_generatorown,outage_generatorplan,elec_avail,hvac_avail,ccinsure_lost,solstor_wtp_dv,ev_wtp_pc,heatpump_wtp_pc,induction_dv,PV,PS,EV,HP,IC,yale_worried,cclive,ccpastmove,ccfuturemove,homevac,ccmove_where,charging_access,charging_5mile_r,charging_5mile_f,previous_heating_type,electrification,peer_EV,peer_IC,peer_HP,peer_PV,cost_combo_winter_final,cost_combo_summer_final,vehicle_comb_miles,ccinsure_both,pid_composite,future_EV_0,future_EV_low,future_EV_high,future_PV,future_PS_0,future_PS_low,future_PS_high,future_HP_0,future_HP_low,future_HP_high,future_IC_0,future_IC_low,future_IC_high,wt_ca,tractid
WVQYR,8,1,50,Male,85000,college,Black,6,1,0,SF,3,1,2250,Older,0,450,0,2,Elec,None,Other,0,1,7,4,NA,Gas,1,3,2,3,3,0,0,3,0,2,3,3,0,NA,10000,12500,NA,0,0,0,0,0,4,2,1,3,1,0,potential,1,0,Elec,Full_elec,peer,peer,none,neighbor,400,150,20000,1,2,0,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.97296165891634,06037602301
XNKQP,5,0,70,Male,95000,graduate,Non-hispanic other,6,1,0,SF,2,1,2250,BrandNew,0,250,0,2,Gas,None,Gas,0,0,7,3,NA,Gas,0,2,1,3,2,1,0,3,1,1,3,3,0,30000,15000,NA,1000,1,0,0,0,0,1,1,1,1,2,1,potential,1,0,Gas,Full_fossil,neighbor,none,none,peer,162.5,12.5,22500,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0.374052753849508,06083002809
PZSKJ,6,0,70,Male,NA,some college,Non-hispanic other,6,1,0,SF,1,0,750,Older,0,450,1,1,Gas,None,Gas,NA,NA,4,4,NA,Gas,NA,5,1,3,2,0,0,1,0,1,3,3,0,NA,10000,NA,NA,0,0,0,0,0,3,3,1,3,1,1,none,0,0,Gas,Half_elec,none,none,none,none,NA,NA,1250,0,4,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1.17378159975829,06037670002
AIWTY,10,0,70,Female,75000,some college,White,7,1,0,SF,2,1,1750,Older,0,350,1,2,Gas,Central,Elec,1,1,7,5,NA,Gas,0,5,2,3,3,1,0,1,0,2,3,3,0,NA,2000,4000,1200,0,0,0,0,0,4,1,1,1,1,0,potential,1,1,Gas,Half_elec,peer,peer,peer,peer,250,250,12500,1,1,0,1,1,1,NA,NA,NA,0,1,1,0,0,0,0.80482277376585,06073017040
FSFCE,5,0,60,Male,112500,college,White,6,1,0,SF,3,1,1750,BrandNew,1,350,1,2,Gas,None,Gas,0,1,7,3,NA,Gas,1,5,2,5,3,1,0,2,0,1,3,2,0,NA,2000,2000,400,1,1,1,0,0,4,4,1,1,2,0,own,1,1,Gas,Full_elec,neighbor,peer,peer,neighbor,87.5,12.5,10000,1,3,1,1,1,1,1,1,1,0,1,1,0,0,1,0.568806366886711,06079011705
WUTVA,8,0,70,Female,112500,some college,White,6,1,1,SF,4,1,1750,Newer,1,150,1,3,Not know,Room,Elec,1,0,5,5,5,Elec,1,3,2,3,3,0,0,2,0,1,4,4,0,NA,10000,10000,0,0,0,0,0,1,4,1,1,1,1,0,potential,0,0,Not know,Full_elec,neighbor,neighbor,none,neighbor,425,350,22500,1,1,0,0,0,1,NA,NA,NA,0,0,0,1,1,1,0.508234813327168,06037573800
GVPEA,14,1,60,Male,112500,some college,White,2,1,0,SF,2,1,1750,Older,0,NA,1,2,Gas,Central,Gas,0,1,5,3,NA,Gas,0,4,3,2,2,0,0,3,0,2,4,4,0,NA,20000,20000,NA,0,0,0,0,0,1,1,1,1,2,1,potential,0,0,Gas,Full_fossil,peer,none,none,none,NA,NA,10000,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574055237545902,06071010417
SYROX,9,0,80,Female,225000,graduate,White,6,1,0,SF,2,1,2750,Older,0,450,1,1,Gas,Central,Gas,1,1,7,3,NA,Gas,0,5,2,3,1,1,0,1,0,2,4,4,0,NA,4000,4000,NA,0,0,0,0,0,4,3,1,2,1,0,potential,0,0,Gas,Full_fossil,peer,peer,peer,peer,600,450,1250,1,1,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,0.358655375530913,06037216301
BTAEC,12,1,60,Male,112500,graduate,Hispanic,4,1,1,SF,2,1,1250,Older,0,350,1,2,Elec,Central,Elec,1,1,5,5,NA,Gas,0,4,2,4,2,0,0,2,0,2,3,3,0,NA,20000,12500,NA,0,0,0,1,0,4,3,1,3,1,0,none,0,0,Gas,Half_elec,peer,peer,peer,peer,NA,NA,15000,1,1,0,0,0,0,NA,NA,NA,1,1,1,0,0,0,0.457095202750981,06077002701
VUJZQ,8,0,60,Female,95000,college,White,2,1,1,SF,1,1,1750,Older,0,450,0,1,Gas,Central,Gas,0,0,7,3,NA,Gas,0,4,1,3,2,0,0,3,0,1,4,4,0,NA,12500,12500,NA,0,0,0,0,0,2,1,1,1,1,1,none,0,0,Gas,Full_fossil,none,none,none,peer,75,75,3750,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348186708308526,06059075808
FJNYG,10,1,60,Female,45000,some college,Hispanic,3,1,0,SF,3,1,2250,BrandNew,0,150,1,3,Gas,Central,Gas,0,1,1,4,NA,Gas,1,5,3,3,2,1,0,1,0,2,3,3,0,NA,6000,4000,NA,1,0,0,0,0,4,2,1,3,1,0,none,0,0,Gas,Half_elec,none,none,none,neighbor,NA,NA,5000,1,1,0,0,0,1,NA,NA,NA,0,1,1,NA,NA,NA,1.13969019088073,06065042510
