building_id,income,annual_kwh,scaling_factor,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF1_ROE1.5_bill
164760,medium,10448.869,0.7130643653791515,5593.90465468,5215.600757239999,3385.2359845000087,3330.889384000028,3054.18831449997,2999.8093531999784,3105.907042499978,2826.247523800001,2332.320109700003
25309,high,15823.556,0.8407500276235722,8495.291092110001,7770.77155365,5137.813373900009,5055.294248799992,4635.332102600014,4552.811389299989,4609.383777300023,4080.5119435999854,3330.8176154999974
513614,low,3881.6370000000006,0.7130643653791515,2081.8258156300003,1904.9901600699998,1253.5861890999938,1233.4612323000222,1130.9862857000098,1110.8485140999846,1156.1269971000022,1058.588284500003,875.6591868000082
288598,high,17274.918999999998,0.7130643653791515,9230.16938456,8412.43819442,5576.974700899981,5487.421842000011,5031.568302499985,4941.9692357000185,4986.1152946,4394.811893799991,3581.0452232000057
185737,high,14490.358999999999,0.7130643653791515,7780.93904505,7142.319230690001,4705.768425099978,4630.186146700006,4245.546923699986,4169.961515499999,4238.739374,3771.3135238000013,3084.66093050001
465081,low,6699.588000000001,0.7130643653791515,3603.25519924,3244.76386072,2179.7289993999852,2144.7252201999977,1966.5525776000086,1931.5383740000018,1950.6461023999873,1721.3756890000063,1403.3233406000031
404133,medium,7718.397999999999,0.7130643653791515,4160.202645920001,3958.0690395199995,2518.490778099998,2478.026270399983,2272.175310399993,2231.7278129999895,2362.3487435000006,2205.9540209000006,1838.4760858999948
541491,medium,8341.765,0.7130643653791515,4495.89551881,4253.351994969999,2727.249039600022,2683.4404420999845,2460.531818299992,2416.739116400026,2541.4513592000108,2355.3355519000115,1957.4177988999932
529402,medium,9215.782000000001,0.7130643653791515,5041.9942538800005,4742.53154032,3055.440110599977,3006.3416366000033,2756.581085200007,2707.5247313999726,2822.970459900001,2590.2336371000133,2144.3763672999958
213987,high,2864.1220000000003,0.7130643653791515,1508.28487193,1618.9991283099998,913.1871175000018,898.5349740999867,823.8903331999953,809.2121191000089,985.1932255000013,1057.1234284000016,923.8867765999997
488377,medium,17591.798000000003,0.8407500276235722,9461.37119165,8623.23180937,5736.595066299992,5644.419784699991,5175.535480599997,5083.449241799982,5123.140225799996,4508.965427800005,3671.9563120999906
30566,high,14286.512,0.7130643653791515,7750.970018139999,7125.107853520001,4708.655938100018,4632.969299700004,4248.13095059997,4172.511701200009,4241.225748899997,3773.3299666999874,3086.269419000011
105088,high,3494.9889999999996,0.7130643653791515,1865.6417856599999,1935.50396038,1129.1178282999963,1110.9922910000016,1018.6972347000011,1000.5599285999983,1170.432934400003,1211.6572307000042,1046.9009409999999
381367,high,15395.235,0.8407500276235722,8259.03881365,7562.164502629999,5004.832779900013,4924.4436245999705,4515.382051299998,4434.995019599983,4495.322326199975,3985.304069299992,3255.0565139999962
197122,low,4044.6729999999993,0.7130643653791515,2172.4898117399994,1985.2340456400002,1314.7872338999941,1293.6677753000024,1186.1994173000041,1165.082769999997,1208.6426618999897,1102.3690689999917,910.5263556000052
29850,medium,2803.172,0.8407500276235722,1495.15652349,1609.7396161699999,904.3182818000066,889.7955041000173,815.8866032000333,801.3514274000299,977.5778276000178,1050.7736584000177,918.8213497000006
45161,high,5007.501,0.7130643653791515,2662.2572456700004,2634.86978187,1604.5824783999938,1578.8280597000044,1447.6795788999893,1421.8807852999914,1578.3026495000022,1551.9336654999852,1317.8024062000063
519109,low,4986.485000000001,0.7130643653791515,2637.03989172,2389.11907894,1597.8771452000033,1572.2381306000166,1441.6520926999906,1415.9552723999943,1451.4832563999948,1304.9575462999971,1071.8367442000056
116401,high,7436.936,0.8407500276235722,3957.4652275599997,3773.5734285000003,2395.6405705999996,2357.1705320999895,2161.3787462000205,2122.877386900005,2256.9365384999737,2118.046230799987,1768.4954187999729
257010,high,12810.774,0.8407500276235722,6950.4359233,6419.569451080001,4214.177151799984,4146.438625600014,3802.0090695999816,3734.3501909999877,3817.0172777000334,3419.4813613000047,2804.529350900015
521540,high,21412.761000000002,0.8407500276235722,11439.41236817,10355.34926389,6930.826539500015,6819.495458699979,6253.046942100003,6141.7071398000035,6147.579112500004,5363.6393895999945,4352.379172799994
452964,medium,3868.161,0.7130643653791515,2062.13308612,2108.07718294,1248.1501178000037,1228.1085026999792,1126.0941153000092,1106.0347927000098,1272.5419909000084,1296.8397464999948,1114.719690599993
523259,low,2396.6659999999997,0.8407500276235722,1281.98640625,1200.8191787499998,776.4293053000055,763.9674646999924,700.5014554000053,688.0305682000044,746.8010126000098,717.0890526000048,603.8069533000012
66736,low,8301.664999999999,0.8407500276235722,4449.41308037,3987.8642197299996,2690.1929532999884,2646.983131099989,2427.0812210999925,2383.884303100004,2388.5681894000018,2086.7006595999997,1694.1482731000037
480529,high,18547.895,0.7130643653791515,9955.83264052,9055.54427586,6037.593356800001,5940.623548800016,5447.166606700002,5350.173981199981,5381.287966900004,4724.392339400011,3843.4664465000055
250589,low,3060.425,0.7130643653791515,1633.8992405099998,1509.9215370499999,992.5060650000064,976.5774094999927,895.4567229000099,879.5075104999859,932.1660669000108,871.7187361000101,726.9196174000053
