building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,native_annual_kwh,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_d_4_9_bill_s1_ev,tou_d_4_9_f_bill_s1_ev,annual_kwh_s1,pv_size_kw_s2,solar_gen_kwh_s2,self_sufficiency_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_d_4_9_bill_s2_pv_stor,tou_d_4_9_f_bill_s2_pv_stor,pv_size_kw_s3,solar_gen_kwh_s3,self_sufficiency_s3,annual_kwh_s3,grid_import_kwh_s3_pv_ev_stor,grid_export_kwh_s3_pv_ev_stor,export_value_s3_pv_ev_stor,self_consumption_kwh_s3_pv_ev_stor,F0_WF0_ROE0_bill_s3_pv_ev_stor,F0_WF0_ROE1.0_bill_s3_pv_ev_stor,F0_WF1_ROE0_bill_s3_pv_ev_stor,F50_WF0_ROE0_bill_s3_pv_ev_stor,F50_WF1_ROE1.0_bill_s3_pv_ev_stor,F100_WF0_ROE0_bill_s3_pv_ev_stor,tou_d_4_9_bill_s3_pv_ev_stor,tou_d_4_9_f_bill_s3_pv_ev_stor,is_fully_electrified
<<<<<<< Updated upstream
233776,G06002905,medium,False,13909.548999999999,0.8704186294422617,16,5734.043413,5370.09461,5727.305951600002,5660.047764300002,4815.218009500002,5166.772626700003,4418.3208622,4606.459233400001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233793,G06003774,medium,False,13437.194,0.8536704995961909,6,5630.113017999998,5288.364900000002,5632.8481058,5567.482639599998,4746.4443784999985,5116.272076299998,4377.2776701,4599.877888500001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233850,G06003764,low,True,4966.079,0.8648656126453748,8,1189.805606774997,1104.2567505000002,1189.70731098,1173.8545514324999,974.70524313,1069.8410278874999,888.3559547249996,950.061243615,0,0,1,0,44.93983161075283,4966.079,10433.758512641594,0.0,0.0,0.0,2678.2358832047826,2646.2391632486037,2244.171010981646,2182.605422798138,1920.555252962512,1687.27582420827,2678.334178999782,2419.3231901862328,10433.758512641594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
233853,G06005918,low,True,5679.9529999999995,0.8536704995961909,6,1390.763959425004,1282.5674504999981,1389.8333997675002,1371.8190911625002,1145.5137640350006,1219.6797474900006,1027.4126276400002,1049.6338996650002,0,0,1,0,41.01566467427408,5679.9529999999995,10670.19220203668,0.0,0.0,0.0,2752.1020514684296,2719.353480564156,2307.848277027993,2238.996124095294,1973.1988891746291,1726.1936458951764,2753.0326111259287,2486.5207635162983,10670.19220203668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
233855,G06003761,high,False,19562.102,0.8536704995961909,6,8360.958983999997,7731.340189999998,8360.437678899998,8265.5819117,7073.730895499998,7157.242974799998,6270.980521299998,5954.441531,0,0,1,0,18.573927287641734,19562.102,21821.92981999641,0.0,0.0,0.0,9274.36777108841,9169.626959785926,7853.527514387982,7841.090400105477,6905.497453122231,6408.337545175379,9274.889076188407,8539.058374648577,21821.92981999641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
233919,G06007110,high,False,15285.142,0.8407500276235722,10,6467.140793999992,6038.539119999995,6473.6424163,6397.6511391,5442.6832287,5709.1054309,4916.921466999999,4944.812640499998,0,0,1,0,5.057400448709784,15285.142,15900.459054593022,0.0,0.0,0.0,6722.491805378758,6643.8089796599625,5655.010094698362,5895.306777660417,5089.690863908686,5068.401683905242,6715.990183078757,6258.468607512888,15900.459054593022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
233921,G06005925,high,False,15891.412,0.8536704995961909,6,6649.161624000001,6192.065260000001,6650.577380099999,6574.201180499998,5614.861487599998,5877.792515399998,5083.899665699998,5105.290143,1,1,0,0,0.0,15891.412,,,,,,,,,,,,,,7.493978887793258,14302.270799999998,0.8999999999999999,5453.447986106871,3398.972491255353,1020.9292076732538,10903.298308744645,722.3217191339279,699.5250711546075,414.2186958092532,1197.7414434983475,671.541168778909,2007.8220000000001,722.3217191339279,755.8096637869048,,,,,,,,,,,,,,,,,False
233933,G06007105,high,False,12412.452,0.8407500276235722,10,4952.129374000002,4658.54413,4954.597587899999,4895.0258461,4146.549374199999,4572.361360899998,3862.2727315999978,4190.482079299999,1,1,0,0,0.0,12412.452,,,,,,,,,,,,,,5.692302436529463,11171.206800000002,0.9000000000000002,4955.334562902807,3281.1940738847393,991.9220423445179,7890.012726115263,623.1047289073481,602.1365460769834,339.42036722986586,1140.3699134029368,623.1591318961746,2007.8220000000001,622.9030616004236,679.802337143992,,,,,,,,,,,,,,,,,False
233965,G06003704,high,False,7261.054,1.0497359105206039,14,2768.9939779999977,2717.5244399999983,2770.336411400001,2734.4687338000003,2283.796574900001,2939.6812527,2347.7615765,3109.1277479,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234021,G06003737,high,False,10492.164,0.995376512581759,9,3883.4781979999884,3680.146489999999,3880.5929045000007,3833.1181131999997,3237.077975300001,3780.469088300001,3130.9592664000006,3680.7200798000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
