building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill
544523,high,7004.104,3273.4616531299994,3174.4728321800003,3785.1664023900003,3628.81988963
498525,high,9805.737000000001,4773.427746099999,4493.82543849,5209.821490550001,4873.3475751099995
18257,high,16557.171,8388.46723502,7673.57181507,8952.79769569,8180.510667749999
72208,high,9614.382,4670.859783520001,4403.607864540001,5142.022947240001,4817.757549659999
35592,medium,7306.898,3392.92079549,3279.54933676,3886.93649123,3711.3716992499994
53036,low,5037.877,2220.62124185,2026.5794237900002,2686.29438474,2435.0756257800003
525034,high,6081.881,2779.94494756,2740.3813095700007,3263.6662607099997,3166.98955565
496681,high,6712.415,3117.2824755399997,3037.09945735,3561.8580903899997,3424.66416765
313136,high,8691.449,4177.446089099999,3969.6069307300004,4614.16551919,4349.52125893
119267,medium,10366.139,5073.47688458,4757.7451456300005,5529.058943029999,5156.51115839
364399,medium,5159.535,2243.02845911,2268.11751465,2766.8652788,2729.51607478
442739,high,9059.973,4374.15978516,4142.634016409999,4873.0264765,4584.416959640001
186207,high,3475.017,1477.4382277200002,1594.7080674899998,1825.9709906399996,1897.34850348
268205,medium,4985.436,2192.5365436399993,2223.7037725200003,2650.04175195,2624.09308575
410119,high,9391.697,4509.437195439999,4261.6240714900005,5036.63524247,4726.60882139
542397,medium,8119.736,3828.14715058,3662.3693393200006,4382.5437357,4154.3529271
410269,medium,3709.2690000000002,1577.11697792,1682.38531953,1965.2807197899997,2021.5268348500001
17956,high,14098.057999999999,7072.896098759999,6516.41081386,7609.489167569999,6995.94279389
510923,high,15712.699999999999,7893.749657420001,7238.425668400001,8484.12634908,7766.52290332
198250,high,5486.077,2460.5882073199996,2459.47887569,2942.3750923700004,2884.1059224299997
311959,medium,6670.621,3095.1408013699993,3017.6238910700004,3562.0047169399995,3427.4590667199996
3348,high,5024.987000000001,2268.33519191,2290.37327269,2689.99754981,2661.3847745900002
546920,high,18344.743000000002,9303.714317279999,8478.61403771,9908.91670636,9021.571736220001
344397,high,12204.644,6058.08522571,5623.79509858,6529.260994390001,6038.118402210001
543819,low,5450.089999999999,2441.4852365099996,2220.8488,2895.1707131900002,2617.44454187
121169,low,4740.553,2063.78157533,1888.6249999100003,2523.08425741,2291.07800201
362095,high,10136.271,4950.678784919999,4649.73336507,5489.063213240001,5130.92208652
