zip_code,utility,acronym,type,climate_zone,city,county,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,puma,percentpuma,,,,,,,,,,,,,,,
90605,Southern California Edison,SCE,IOU,9,Whittier,Los Angeles County,9,16.9,12,3739,0.526566851,,,,,,,,,,,,,,,
90606,Southern California Edison,SCE,IOU,9,Whittier,Los Angeles County,9,16.9,12,3739,0.963328176,,,,,,,,,,,,,,,
90620,Southern California Edison,SCE,IOU,8,Buena Park,Orange County,8,12.8,10.3,5908,0.841604664,,,,,,,,,,,,,,,
90621,Southern California Edison,SCE,IOU,8,Buena Park,Orange County,8,12.8,10.3,5908,0.955862857,,,,,,,,,,,,,,,
90623,Southern California Edison,SCE,IOU,8,La Palma,Orange County,8,12.8,10.3,5908,0.966803883,,,,,,,,,,,,,,,
90630,Southern California Edison,SCE,IOU,8,Cypress,Orange County,8,12.8,10.3,5908,0.932892744,,,,,,,,,,,,,,,
90631,Southern California Edison,SCE,IOU,8,La Habra,Orange County,8,12.8,10.3,5906,0.431826351,,,,,,,,,,,,,,,
90638,Southern California Edison,SCE,IOU,9,La Mirada,Los Angeles County,9,16.9,12,3754,0.990965918,,,,,,,,,,,,,,,
90639,Southern California Edison,SCE,IOU,9,La Mirada,Los Angeles County,9,16.9,12,3754,1,,,,,,,,,,,,,,,
90640,Southern California Edison,SCE,IOU,9,Montebello,Los Angeles County,9,16.9,12,3740,0.979238441,,,,,,,,,,,,,,,
90650,Southern California Edison,SCE,IOU,8,Norwalk,Los Angeles County,8,12.8,10.3,3781,0.984443584,,,,,,,,,,,,,,,
90660,Southern California Edison,SCE,IOU,9,Pico Rivera,Los Angeles County,9,16.9,12,3740,0.97228911,,,,,,,,,,,,,,,
90670,Southern California Edison,SCE,IOU,9,Santa Fe Springs,Los Angeles County,9,16.9,12,3754,0.982581483,,,,,,,,,,,,,,,
90680,Southern California Edison,SCE,IOU,8,Stanton,Orange County,8,12.8,10.3,5912,0.984898467,,,,,,,,,,,,,,,
90701,Southern California Edison,SCE,IOU,8,Artesia,Los Angeles County,8,12.8,10.3,3764,0.998893117,,,,,,,,,,,,,,,
90703,Southern California Edison,SCE,IOU,8,Cerritos,Los Angeles County,8,12.8,10.3,3764,0.986864303,,,,,,,,,,,,,,,
90704,Southern California Edison,SCE,IOU,6,Avalon,Los Angeles County,6,11.4,11,3768,1,,,,,,,,,,,,,,,
90706,Southern California Edison,SCE,IOU,8,Bellflower,Los Angeles County,8,12.8,10.3,3782,0.98806213,,,,,,,,,,,,,,,
90710,Los Angeles Department of Water & Power,LADWP,POU,6,Harbor City,Los Angeles County,Zone 1,11.66667,11.66667,3767,0.750253687,,,,,,,,,,,,,,,
