building_id,income,annual_kwh,baseline_bill_tou_dr,rate_scenario,s1_upfront,s1_bill,s1_bill_delta,s1_fuel_savings,s1_net_annual_savings,s1_payback,s2_upfront,s2_bill,s2_bill_savings,s2_net_annual_savings,s2_payback,s3_upfront,s3_bill,s3_bill_delta,s3_gas_savings,s3_fuel_savings,s3_net_annual_savings,s3_payback,s4_upfront,s4_bill,s4_bill_delta,s4_gas_savings,s4_fuel_savings,s4_net_annual_savings,s4_payback
175002,low,1084.7456005112074,287.4444881030078,tou_dr,10000.0,1152.4786918122215,865.0342037092137,2640.0,1774.9657962907863,5.633911380657239,,,,,,,,,,,,,,,,,,,
175111,low,4062.949481691636,1069.9719390453192,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
175149,medium,5495.148906547889,2301.497203833713,tou_dr,,,,,,,14488.579471872858,1181.6587747650335,1119.8384290686793,1119.8384290686793,12.93809811824584,,,,,,,,,,,,,,
175204,medium,605.2782689728044,258.442563561637,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
175310,medium,8303.843462699275,3915.086991214858,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
175350,medium,6069.461887417441,2660.1226162390776,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
17562,high,9994.315136604746,4779.129653564551,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
175719,high,8227.471313570713,3792.7098320221794,tou_dr,,,,,,,17515.970066896476,1817.6171047995003,1975.092727222679,1975.092727222679,8.868429226372045,,,,,,,,,,,,,,
175734,high,1757.5624739152636,730.1924269835681,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
175841,medium,8347.026640666638,4041.7180965168095,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
175861,medium,3670.3469380793567,1514.6899206579556,tou_dr,,,,,,,13300.0,727.4023368675464,787.2875837904091,787.2875837904091,16.893445640241055,,,,,,,,,,,,,,
17634,medium,3338.053239297749,1389.2859440454883,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
176466,medium,3472.3211201055474,1434.2499153893302,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
17649,high,8120.680045293065,3823.859211211769,tou_dr,10000.0,6072.395972803326,2248.536761591557,2640.0,391.463238408443,25.54518283927915,,,,,,,,,,,,,,,,,,,
176503,high,3380.250249247791,1403.9768872827892,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
176754,medium,3379.2113144674336,1415.718889891309,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
176830,medium,2214.47771876982,906.7105663434296,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
176871,medium,4957.327575513206,2132.9665989125665,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
176922,high,5825.533400402958,2579.6459417899723,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
177052,high,6252.7772784146655,2815.3870179256746,tou_dr,,,,,,,15328.025432429067,1388.5134621235784,1426.8735558020962,1426.8735558020962,10.742385245070045,,,,,,,,,,,,,,
177073,high,5342.956349632078,2347.355531289762,tou_dr,10000.0,4042.1761693356607,1694.8206380458987,2640.0,945.1793619541013,10.580002486856678,,,,,,,,,,,,,,,,,,,
177095,high,8853.203224139048,4225.334078776446,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
177117,low,1333.1536942852465,347.8179029344305,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
177175,medium,3909.72135695729,1638.9403875556632,tou_dr,10000.0,1951.3516828606112,312.411295304948,2640.0,2327.588704695052,4.296291685824341,,,,,,,,,,,,,,,,,,,
177247,medium,6887.557872440666,3197.8499277770165,tou_dr,,,,,,,16031.35707269174,1470.0576095283488,1727.7923182486677,1727.7923182486677,9.278520863515306,,,,,,,,,,,,,,
17734,medium,1666.072037450926,690.2772098466992,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
177393,low,2307.31798607782,599.1443102957026,tou_dr,10000.0,1563.7181798703994,964.5738695746968,2640.0,1675.4261304253032,5.968630796907484,,,,,,,,,,,,,,,,,,,
177563,medium,9009.73961002282,4256.104365552506,tou_dr,,,,,,,18382.716859799555,1940.3266952693407,2315.7776702831657,2315.7776702831657,7.93803183081551,,,,,,,,,,,,,,
177769,low,4468.804991826469,1175.5710351022765,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
177884,low,6310.096315823694,1843.818831293398,tou_dr,,,,,,,,,,,,,,,,,,,,,,,,,
178099,high,5745.581012899763,2650.693299133045,tou_dr,,,,,,,14766.056171369573,1308.81247036666,1341.880828766385,1341.880828766385,11.003999650955794,,,,,,,,,,,,,,
