building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
316284,G06007313,high,False,13539.163,0.8407500276235722,6561.141160129998,6046.1419670894375,6561.141131849999,6442.8496955499995,5868.7577370499985,5650.381785349999,4840.020356849999,4739.942663249999
316306,G06007323,low,True,5203.817999999999,0.7130643653791515,1429.8051169068226,1467.4189078256677,1429.8181110915232,1400.8989186285232,1260.6274174965233,1378.9089470115232,1180.8844192125232,1328.104119058523
316424,G06007324,medium,False,3082.169,0.7130643653791515,1276.5678860300013,1413.9542443799987,1276.5716908699999,1249.5720466699997,1118.54202947,1919.7858977699998,1734.81401567,2563.09272917
316523,G06007317,high,False,7171.083,0.7130643653791515,3225.7774446281305,3115.7641568952367,3225.759961688132,3163.984659688132,2863.7640380881317,3275.6328237881316,2851.877350088132,3325.808701988132
316690,G06007316,low,True,1941.996,0.7130643653791515,506.1966282071998,566.1941130300012,506.1984963083999,495.4891443264,443.52063691739994,765.0386080014,691.6757088954,1023.9160110954
316691,G06007326,medium,False,4232.319,0.7130643653791515,1822.6130747700008,1896.0183472999997,1822.63450079,1785.0789097899997,1602.9127953900002,2286.4688067899997,2029.2988410899998,2750.45843359
316730,G06007323,high,False,3405.138,0.7130643653791515,1549.7187440799962,1659.6793647699985,1549.72657337,1519.03017607,1369.93341267,2129.68652037,1919.23798867,2709.78402517
31689,G06007317,medium,False,3683.812,0.7130643653791515,1560.010459019999,1664.4709953699999,1560.02384391,1527.4596599099998,1369.45949471,2108.64199471,1885.5951544099999,2657.3907563099997
316987,G06007311,high,False,13879.243999999999,0.7130643653791515,6883.849039578132,6341.212967305239,6883.890323688132,6760.939103688132,6164.129885088132,5893.413969588133,5050.938767888132,4903.503350688132
317195,G06007307,high,False,17683.359,0.8407500276235722,8783.597011459995,8001.231186439439,8783.623490849997,8628.164485749998,7873.868641949999,7240.819410849998,6176.070353649999,5698.433039649999
317285,G06007329,medium,False,4294.883,0.8407500276235722,1847.2439350799955,1916.817677329995,1847.25211791,1809.2572664099998,1624.8210795100003,2303.18191631,2042.82713851,2759.25616101
317510,G06007325,low,True,3770.814,0.8407500276235722,987.1881892802999,1035.0307615410002,987.1940329145999,966.3271334766001,865.0670587146001,1073.1452916666,930.1997169156,1159.1724884136001
317523,G06007313,medium,False,4732.333,0.8407500276235722,1991.0113500286361,2040.303752615372,1991.0177867686411,1949.552304268641,1748.3434497686408,2388.067206168641,2104.0294136686407,2785.255898668641
