building_id,puma,income,is_care,annual_kwh,scaling_factor,cec_cz,tou_d_4_9_bill,tou_d_4_9_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,native_annual_kwh,pv_size_kw_s2,solar_gen_kwh_s2,self_sufficiency_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,tou_d_4_9_bill_s2_pv_stor,tou_d_4_9_f_bill_s2_pv_stor,is_fully_electrified,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,tou_d_4_9_bill_s1_ev,tou_d_4_9_f_bill_s1_ev,annual_kwh_s1,pv_size_kw_s3,solar_gen_kwh_s3,self_sufficiency_s3,annual_kwh_s3,grid_import_kwh_s3_pv_ev_stor,grid_export_kwh_s3_pv_ev_stor,export_value_s3_pv_ev_stor,self_consumption_kwh_s3_pv_ev_stor,F0_WF0_ROE0_bill_s3_pv_ev_stor,F0_WF0_ROE1.0_bill_s3_pv_ev_stor,F0_WF1_ROE0_bill_s3_pv_ev_stor,F50_WF0_ROE0_bill_s3_pv_ev_stor,F50_WF1_ROE1.0_bill_s3_pv_ev_stor,F100_WF0_ROE0_bill_s3_pv_ev_stor,tou_d_4_9_bill_s3_pv_ev_stor,tou_d_4_9_f_bill_s3_pv_ev_stor
348106,G06006509,high,False,12134.519,0.8407500276235722,10,4910.859983000002,4630.337589999999,4899.8133344,4832.838836399999,3988.512504199999,4257.0376566999985,3278.7404867999985,3614.469108999999,1,1,0,0,0.0,12134.519,5.56484343865443,10921.0671,0.9,3441.110455165791,1805.1014679821628,921.9771394173199,9115.965632017836,125.90994324811254,109.51199015470843,0.0,920.4972,920.4972,1840.9956000000002,137.22494324811254,301.11499999999995,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348124,G06007118,low,True,8156.741,0.8407500276235722,10,2111.959797724994,1925.1871895000018,2102.9379439049994,2072.5195631399993,1689.140288137499,1621.389880574999,1177.184134485,1139.9179702725,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34815,G06003758,medium,False,13158.046000000002,0.8648656126453748,8,5488.998002,5160.369840000008,5476.7658470999995,5404.259292299999,4491.974342999999,4707.9766669,3650.967186400001,3939.5012067000007,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348191,G06011107,low,True,5191.771000000001,0.995376512581759,9,,,1549.5949042875,1530.5619561525,1290.5655082425,1333.5175892025,1055.449705365,1117.5033542850001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34822,G06011107,medium,False,8531.115999999998,0.995376512581759,9,,,3700.7084652,3655.2795698,3082.1218458,3559.9993618,2895.8688076000003,3419.4698872000004,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348243,G06003771,high,False,14052.318,0.995376512581759,9,5740.817666000001,5370.158719999999,5731.1565068,5654.3868806,4687.3693658,4861.115851400001,3740.628249000002,3991.398855800002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348313,G06005906,medium,False,6944.612,0.8648656126453748,8,2627.8352240000027,2591.2384599999996,2615.855236300001,2578.629270000001,2109.3547375000003,2667.4437565999992,2123.726220399999,2719.1935793000002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348322,G06005906,medium,False,6548.187,0.8648656126453748,8,2460.3253590000018,2442.3605699999953,2449.0383225000005,2413.8648520000006,1970.4248702,2548.4774352999993,2034.6679032999994,2648.0580823,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348348,G06005916,high,False,7119.774,0.8648656126453748,8,2716.625088000003,2671.795709999996,2704.5648037000005,2666.2727192000007,2183.241859100001,2730.7138914999996,2171.071923899999,2757.0085558,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348354,G06006515,low,True,6882.58,1.4172145412832236,15,1730.128830499998,1583.778980000001,1718.1422641575,1693.2083547149998,1378.5932841074996,1363.91610249,999.3916360350004,1009.7772045525003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
