building_id,puma,income,is_care,annual_kwh,scaling_factor,e_tou_c_bill,e_tou_c_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill,assigned_pv,assigned_battery,assigned_ev,assigned_hp,ev_daily_miles,baseline_gas_therms,gas_savings_therms,pv_size_kw_s2,grid_import_kwh_s2_pv_stor,grid_export_kwh_s2_pv_stor,export_value_s2_pv_stor,self_consumption_kwh_s2_pv_stor,self_sufficiency_s2_pv_stor,F0_WF0_ROE0_bill_s2_pv_stor,F0_WF0_ROE1.0_bill_s2_pv_stor,F0_WF1_ROE0_bill_s2_pv_stor,F50_WF0_ROE0_bill_s2_pv_stor,F50_WF1_ROE1.0_bill_s2_pv_stor,F100_WF0_ROE0_bill_s2_pv_stor,e_tou_c_bill_s2_pv_stor,e_tou_c_f_bill_s2_pv_stor,grid_import_kwh_s1_ev,grid_export_kwh_s1_ev,export_value_s1_ev,self_consumption_kwh_s1_ev,self_sufficiency_s1_ev,F0_WF0_ROE0_bill_s1_ev,F0_WF0_ROE1.0_bill_s1_ev,F0_WF1_ROE0_bill_s1_ev,F50_WF0_ROE0_bill_s1_ev,F50_WF1_ROE1.0_bill_s1_ev,F100_WF0_ROE0_bill_s1_ev,e_tou_c_bill_s1_ev,e_tou_c_f_bill_s1_ev,pv_size_kw_s3,grid_import_kwh_s3_pv_stor_ev,grid_export_kwh_s3_pv_stor_ev,export_value_s3_pv_stor_ev,self_consumption_kwh_s3_pv_stor_ev,self_sufficiency_s3_pv_stor_ev,F0_WF0_ROE0_bill_s3_pv_stor_ev,F0_WF0_ROE1.0_bill_s3_pv_stor_ev,F0_WF1_ROE0_bill_s3_pv_stor_ev,F50_WF0_ROE0_bill_s3_pv_stor_ev,F50_WF1_ROE1.0_bill_s3_pv_stor_ev,F100_WF0_ROE0_bill_s3_pv_stor_ev,e_tou_c_bill_s3_pv_stor_ev,e_tou_c_f_bill_s3_pv_stor_ev,annual_kwh_s3
6793,G06008103,medium,False,4788.51,0.7640705232624861,1971.3454702800047,1982.382574980005,1971.2891688,1947.4100541,1381.8318913,2411.8545894,1798.3084049,2851.9876428,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67934,G06007509,medium,False,5912.816000000001,0.7640705232624861,2476.514000589993,2412.188874109998,2476.449805,2447.1231628,1752.7617839,2775.4431035,2022.1844336,3073.8953946,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67945,G06006712,high,False,7184.013999999999,0.8960338247617118,3439.8518527999995,3253.46335438,3439.7279174000005,3402.7692812,2525.8339738000004,3538.0450637,2586.8332447000003,3635.7760619,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67965,G06008104,medium,False,6057.447,0.7640705232624861,2553.9744382199938,2479.9546958099986,2553.9027534,2523.7525600000004,1809.6494086,2831.1920412,2056.5142127,3107.9291669,1,1,1,0,21.116652637737285,91.90729275575801,91.90729275575801,3.273481950103929,2530.103983590509,1668.7578580751274,1202.9819385087285,3782.9444419248734,0.6245113563395394,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,8626.63973759137,0.0,0.0,0.0,0.0,3704.7209044050865,3662.172420353053,2654.6794244232783,3659.4976681341896,2566.5257188718906,3613.465350489533,3704.8248977036205,3458.5921660928802,3.273481950103929,4745.281494607162,1314.4138119215422,1132.2089473805572,4137.288488078459,0.4795944439466791,828.6196718908659,805.1601466273055,249.55108943130108,1280.1592629684396,1062.3084,2124.6168,828.6822292605812,838.3409004569407,8626.63973759137
67988,G06008702,medium,False,2854.865,0.7640705232624861,1138.6777588600044,1277.3879988499982,1138.63576546,1123.87937066,773.8788650600001,1816.19260706,1436.55586076,2493.52447316,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6799,G06007508,high,False,2754.965,0.7640705232624861,1030.0050306400035,1177.3305928699997,1029.97259782,1016.22691122,690.6567254200002,1734.38037282,1381.19913252,2438.54004552,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68004,G06009903,medium,False,3490.813,0.8960338247617118,1288.0247861100008,1398.6746776200011,1287.9830235000002,1270.548241,857.5716193000001,1896.3045219,1448.3046174,2504.3123645,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68025,G06000121,low,True,5664.398,0.7640705232624861,1494.9049842870006,1354.3973458259998,1494.85674429,1476.39449113,1038.93648079,1277.4125657150005,802.859759325,1059.639416775,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68029,G06008519,high,False,7289.94,0.8079209467363546,3099.1824517700006,2956.3994415699985,3099.0756782,3062.0934976,2185.3027061000003,3197.5363703,2246.4337466,3295.372884,1,1,0,0,0.0,51.974885297309754,51.974885297309754,3.92118497647558,2661.310824028964,1616.6328159989773,1145.2123577540256,4944.313184001022,0.6782378433843107,0.0,0.0,0.0,1062.3084,1062.3084,2124.6168,0.0,295.15596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6803,G06000115,low,True,10476.752,0.7640705232624861,2977.3893757139986,2627.2098796499986,2977.29849027,2942.89284042,2127.49888949,2344.3940462150003,1459.888383395,1710.9010342749998,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
